created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Thu Oct 19 22:41:49 +0000 2023;1715136197344063945;"@OposisiCerdas Rekam jejaknya di benci warga Rempang....Di sukai penikmat 349 T. yg lainnya tidak di sukai Krn good job";0;0;0;0;in;1502368658290769920;1715018243184972235;donad4656;https://twitter.com/donad4656/status/1715136197344063945
Thu Oct 19 22:40:48 +0000 2023;1715135938882613680;"@repim83 Asal jangan org2 dari klompok DINASTI yg hanya ingin menang  &amp  berkuasa, appn alasannya, itu hayalah kjahatan besar yg mrusak nilai demokrasi yg untungkan diri, kluarga &amp  para oligarki pndukung yg slama ini bersamanya, jangan ada lagi investasi oligarki yg sakiti rakyat (Rempang)";0;0;0;0;in;1081371921864830976;1714643870351310876;TerunaPertiwi;https://twitter.com/TerunaPertiwi/status/1715135938882613680
Thu Oct 19 22:40:37 +0000 2023;1715135895467360501;"@TuaGilaReborn di bio ada bendera merah putih, eh malah jadi buzzer Tiongkok dan mendukung Rempang dijual ke RRC";0;0;0;0;in;1667460673436270594;1714946740049301879;elde_barge;https://twitter.com/elde_barge/status/1715135895467360501
Thu Oct 19 22:38:15 +0000 2023;1715135300601786569;"Bagian ome tv pemain sepak bola https://t.co/4OZXQ4dTOs  https://t.co/n7gmU1hoX7  https://t.co/vPOgckzYO0  https://t.co/rBZSfFrxXY  https://t.co/DCzqzwGQFd  Rempang Arhan Messi #MUFC #GOAT𓃵 #Netflix https://t.co/VLa01Jfry6";12;13;21;39;in;365065402;1715135300601786569;damienkimbrough;https://twitter.com/damienkimbrough/status/1715135300601786569
Thu Oct 19 22:26:52 +0000 2023;1715132435414003793;"Dino iki meh jumatan ning rembang moga wae ktmu gusmus trs lanjut solo";0;0;0;0;in;2949162048;1715132435414003793;legalpvnk;https://twitter.com/legalpvnk/status/1715132435414003793
Thu Oct 19 22:18:04 +0000 2023;1715130220083323249;"@rahmaniarbaftim @xix0_3 @stacitarpeta18 @St4ndWithMe @Abdoeljegger202 @AbdulRachimmks @AdamVelcro @Adribarza1 @Almudattsir @AlwiHusin @21_mozza Sekarang aja dia ngga bisa melindungi rakyat rempang";0;1;1;5;in;1486631613932834819;1715108919423680543;jari_droid;https://twitter.com/jari_droid/status/1715130220083323249
Thu Oct 19 22:13:21 +0000 2023;1715129033183412501;"@ZainabRasyidah Kebiadaban di Rempang dipamerkan Keserakahan di Wadas Kendeng diwariskan UU Ciptaneraka dilanjutkan Sementara petani menderita ketika harga beras naik JAMPUD.... ! https://t.co/HSpMCBAqir";0;0;0;1;in;1603637857654296576;1715117653776605406;SSukasim;https://twitter.com/SSukasim/status/1715129033183412501
Thu Oct 19 22:11:01 +0000 2023;1715128444017881519;"@kompascom Wadas Rempang";0;0;0;0;in;880901825750106112;1714918339095797997;iyok_26;https://twitter.com/iyok_26/status/1715128444017881519
Thu Oct 19 22:08:47 +0000 2023;1715127882958475739;"@VIVAcoid Wadas Rempang";0;0;0;0;in;880901825750106112;1714941772382777576;iyok_26;https://twitter.com/iyok_26/status/1715127882958475739
Thu Oct 19 22:08:07 +0000 2023;1715127715236561044;"@detikcom Wadas Rempang";0;0;0;0;in;880901825750106112;1714931894775664662;iyok_26;https://twitter.com/iyok_26/status/1715127715236561044
Thu Oct 19 22:06:13 +0000 2023;1715127237492793347;"@tvOneNews Mulaikkkk, petugas partai yg dulu juga bilang dulu miskin &amp  pernah digusur eehhh rempang juga digusur mana lebih kejam smpe tutup akses sekolah &amp  kesehatan";0;0;1;1;in;1616133528475041792;1714884982500683965;Tutik93287999;https://twitter.com/Tutik93287999/status/1715127237492793347
Thu Oct 19 22:05:57 +0000 2023;1715127168022564892;"@hasyimmah Mahfudz oMDo: kanjuruhan, wadas, rempang, 350T.";0;0;0;0;in;951952690111594496;1714799390769270992;NgilmuKantiLaku;https://twitter.com/NgilmuKantiLaku/status/1715127168022564892
Thu Oct 19 22:00:46 +0000 2023;1715125865091334293;"@RagilSemar Opungku gmn kabarnya gong,,  Update ya,,  Kangen nih,,  Pingin lihat buldozer di rempang..";0;1;0;1;in;1657769430934523906;1715110103299641444;PetaniSawitKT;https://twitter.com/PetaniSawitKT/status/1715125865091334293
Thu Oct 19 21:57:57 +0000 2023;1715125156681859526;"@daeng_embang Next daerah mana lagi nih yg akan di Rempang kan🤭";0;0;0;1;in;1578899563238170625;1714903006586851778;AdhiRyansah;https://twitter.com/AdhiRyansah/status/1715125156681859526
Thu Oct 19 21:51:21 +0000 2023;1715123496748245306;"@eindro76 @BosPurwa Jeritan Rempang Jeritan petani sawit Jeritan petani di tengah kenaikan harga beras JAMPUD !";0;0;0;0;in;1603637857654296576;1714896393528320047;SSukasim;https://twitter.com/SSukasim/status/1715123496748245306
Thu Oct 19 20:33:29 +0000 2023;1715103901618446717;"Update Pergeseran Warga Rempang, Sudah 52 KK Pindah ke Hunian Sementara https://t.co/dIgwLVWm6X #News #Berita #Kabar #Popular #klikwarta #InfoMasyarakat #viral #beritaterkini";0;0;0;0;in;823779030767833088;1715103901618446717;klikwarta_com;https://twitter.com/klikwarta_com/status/1715103901618446717
Thu Oct 19 20:21:33 +0000 2023;1715100896504484341;"Thohir ato gibran? Thohir gerak di blkng. Jika cebong pingin bgt, maju gibran, thohir ttp d blkg ngerjain semua urusan luhut. Reklamasi, moblis, hybrid pangan, proyek kanker dgn alasan cuaca panas &lt ------ berhubungan dgn rempang";0;0;0;1;in;621287495;1715100896504484341;Knowyourenemyz;https://twitter.com/Knowyourenemyz/status/1715100896504484341
Thu Oct 19 19:36:45 +0000 2023;1715089622416646348;"@killthedj Jika memang pure penolakan GP atas nama kemanusiaan dll, kenapa GP tidak menolak kekerasan di Wadas, Meruyan, Rempang?";0;0;0;0;in;560987687;1715082640930550275;maspiqi;https://twitter.com/maspiqi/status/1715089622416646348
Thu Oct 19 19:29:36 +0000 2023;1715087821210587149;"@Uki23 Orang rempang ngakak ga ya liat cuitan ini????";0;0;0;0;in;1531420107406454784;1714749319960752213;ecilox;https://twitter.com/ecilox/status/1715087821210587149
Thu Oct 19 19:18:03 +0000 2023;1715084914549502330;"Ingat bahwa @mohmahfudmd menganggap sebagian daerah yg dianggap fanatik dg Islam adalah daerah aliran keras. Iblis memang suka berperan seolah2 bagaikan malaikat yg baik, namun sebaliknya dia adalah makhluk yg paling kejam sehingga mampu melihat rakyat di Rempang terus menderita";0;0;0;0;in;1692149386426609664;1715084914549502330;tolol_bajingan;https://twitter.com/tolol_bajingan/status/1715084914549502330
