created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sat Oct 07 12:58:22 +0000 2023;1710640711237079122;"@Ojoklalenya @srikoesharyant5 Mereka yg gagal di rempang";0;1;1;2;in;1488004208049930240;1710618530423709826;EffendiRistriy1;https://twitter.com/EffendiRistriy1/status/1710640711237079122
Sat Oct 07 12:57:07 +0000 2023;1710640396056088755;"Masalah di Pulau Rempang terselesaikan dg baik oleh pak menteri dan Bahlil memestikan kondisi Rempang Aman dan terkendali  #DukungBahlil https://t.co/Zad5zpCQZb";0;0;0;0;in;1644808104582983682;1710640396056088755;saturaksaa;https://twitter.com/saturaksaa/status/1710640396056088755
Sat Oct 07 12:56:58 +0000 2023;1710640360207360488;"Sikon daerah komplek mabad n kiwal lbh serem drpd di Rempang... byk preman bukan ormas... tp org2 kagak jelas... tentara bukan... ormas bukan...😂😂👻👻";0;0;0;0;in;896664428;1710640360207360488;venyacantik;https://twitter.com/venyacantik/status/1710640360207360488
Sat Oct 07 12:56:17 +0000 2023;1710640185665573120;"@CSzipel_ @aniesbaswedan @ganjarpranowo @prabowo semoga programnya berjalan dengan lancar, keren banget sih pak Bahlil bisa menyelesaikan lahan di area Rempang Aman😍 #DukungBahlil";0;0;0;1;in;1679709645752139776;1710619730875404427;muthia1314;https://twitter.com/muthia1314/status/1710640185665573120
Sat Oct 07 12:55:55 +0000 2023;1710640093286093280;"selama relokasinya sesuai pasti warga setuju sich  Rempang Aman  #DukungBahlil  https://t.co/UlSaGt8ew4";0;0;0;0;in;4708527314;1710640093286093280;rachmahfatimah6;https://twitter.com/rachmahfatimah6/status/1710640093286093280
Sat Oct 07 12:55:53 +0000 2023;1710640087321735363;"Keputusan Bahlil untuk mempercepat investasi di Pulau Rempang adalah dorongan positif bagi pengembangan daerah terpencil. Semoga proyek ini membawa kemajuan dan keberlanjutan. Rempang Aman  #DukungBahlil   https://t.co/JBjftAAlQT";0;0;0;0;in;1664328456971358208;1710640087321735363;yukeamanda19;https://twitter.com/yukeamanda19/status/1710640087321735363
Sat Oct 07 12:55:08 +0000 2023;1710639898204803316;"Semoga proyek Rempang Aman dan segera selesai ya pak #DukungBahlil https://t.co/0mG6MjSoN5";0;0;0;0;in;1664328456971358208;1710639898204803316;yukeamanda19;https://twitter.com/yukeamanda19/status/1710639898204803316
Sat Oct 07 12:54:34 +0000 2023;1710639753467683040;"@IND0_Update @mediaindonesia @indozonemedia Mantap pak bahlil segala urusan beres proyek Rempang Aman terkendali #DukungBahlil";0;0;0;0;in;1664328456971358208;1710619686176723434;yukeamanda19;https://twitter.com/yukeamanda19/status/1710639753467683040
Sat Oct 07 12:53:43 +0000 2023;1710639540715860252;"@VIVAcoid Semua ini terinspirasi dari Rempang";0;0;0;0;in;1230762182452772864;1710288096158478799;DarahBi59166272;https://twitter.com/DarahBi59166272/status/1710639540715860252
Sat Oct 07 12:53:08 +0000 2023;1710639394946982193;"Udah tepat banget ni pak Jokowi ksh instruksi ke  orang yg tepat , pak Bahlil pastikan kondisi Rempang Aman  #DukungBahlil https://t.co/xoU2O9vFdt";0;0;0;0;in;1644808104582983682;1710639394946982193;saturaksaa;https://twitter.com/saturaksaa/status/1710639394946982193
