full_text,label
Petisi 100: Batalkan Rencana Pembangunan Rempang Eco City https://t.co/nEY3lsg416 https://t.co/zCb6mXRVs4,
BUTUH DANA : 💸Dana Biaya Sekolah 💸Dana Biaya Kuliah 💸Dana Renovasi Rumah 💸Dana Modal Usaha 💸Dana Sampingan Silahkan Hubungi / Chat Klik Link WhatsApp: https://t.co/Jfj8Qz6DWI 💯Amanah &amp  Terpercaya. #Purworejo #Rembang #Sragen #Sukoharjo #Temanggung,
@SamanthaMateo09 @tvOneNews Bisa kebayang rakyat indonesia jadinya gimana... Bakalan lebih parah dari kasus pulau rempang,
"Opung pernah bilang mau mem bulduzor penduduk pulau Rempang, jika tdk mau digusur  guna mengosongkan pulau Rempang itu agar Investor China bisa masuk kepulau tersebut  Mudahan ucapan  opung itu tdk terjadi""",
"@TeddGus Lu asli dongok @teddgus  Anies menjelaskan harus PSN diturunkan dari RPJP dan RPJMN, kalau tidak akan ada titipan dari kiri dan kanan  Kiri dan kanan bisa saja dari instansi pemerintah atau siapa saja. yg tidak bersumber dari RPJMN &amp  RPJP  Contoh rempang apakah ada dalam RPJMN ?",
@P3n99u94t_ Benarkah ini Rempang?,
"Salah satu contoh media berita yg dikuasai China, yg terjadi dilapangan HMI bela rempang, tiba2 dateng preman sebagai masa tandingan, sama seperti demo aliansi buruh, dicegat masa partai buruh dan preman !  Ah benci amat kalian pada mahasiswa !",
@tvOneNews Ya Rabb lindungilah saudara 2 kami di Rempang dan di tempat 2 lain yang sedang terzalimi. Aamin https://t.co/Tg1k1W64cS,
Petisi 100: Batalkan Rencana Pembangunan Rempang Eco City! https://t.co/l36SrW4hU8,
"Warga Rempang menolak Relokasi, diGusur diGeser... Menteri Bahlil dan Kepala BP Batam mengunjungi pulau Rempang pd Jumat (6/10/2023).  Mrk disambut dgn demo oleh masyarakat Rempang yg tetap menolak relokasi ataupun pergeseran.  Dasar muka tembok https://t.co/DyWgoohXtA",
"@BiLLRaY2019 Jangan pilih yg suka bagi² sembako,,krn pasti modalnya dari oligarki,,nanti stlh berkuasa mrk akan berusaha balikin modal,trus main proyek,akibatnya bbm mahal,pendidikan,kesehatan smakin mahal,keadilan makin sulit didapat,warga wadas,rempang adlh bukti nyata...waspadalah",
"@ainunnajib Lekas sembuh yaa opung , masih banyak tugas yg belum selesai, investor xinyi menunggu Rempang dikosongkan ..",
Khawatir yg empunya proyek di Rempang itu keknya...,
"@Kanseulir @Miduk17 Mungkin hitungannya 140/280jt yg tidak puas, selebihnya puas gitu. Tp belum hitung yg di Rempang, dan tempat-tempat lainnya. Belum lagi yg kena imbas omnibus law tenaga kerja, pengangguran, dll.",
Amien Rais dan Ketum Partai Ummat Jaminkan Diri untuk Pembebasan Warga Rempang https://t.co/Lwwf4PaeC9,
"VIRAL Malay Reaction From 5 Countries Bahlil Lahadalia &amp  Muhammad Rudi Are Liars About The Management Status Of Rempang Island,! DEMOCRACY. ID October, 5, 2023  https://t.co/PgNppo8dgf",
IBU2 WARGA MELAYU REMPANG-GALANG Lempar muka BAHLIL dan ANJING2 KOMUNIS BERSERAGAM dengan telur busuk! Dan kalian yg laki2 lawan perjuangan kalian dengan bergerilya menggunakan senjata apapun BUKAN WAKTUNYA LAGI BERSIKAP LEMBUT! https://t.co/hTiCl0MPPZ https://t.co/WaEY5qI1Ue,
"@TeddGus Eeh botol, wong kasat mata begitu. Rempang titipan tommy winata, belum ada amdal, ngak ada hpl, tiba2 jokowi ngusir penduduk yang sudah turun temurun tinggal disitu. Sudah deh kau jgn banyak bacot, kau kira2 kite2 goblok kayak kau.",
"Aku mau mau bertanya nih , serius lho .... Ada yg tau kmn Banser?  Ummat Islam dr kalangan NU di Rembang lg terancam punah mau di gusur dr tanah kelahirannya. BANSER hrp nongol !!! Katanya ribuan anggotanya. Tak satupun yg nongol. BANSER kmn loe ???  Rakyat butuh loe2.",
"@kumparan Opung moga cepat sembuh,tanggung jwabmu  masih menumpuk.warga Rempang blm kamu gusur.takutnya investasi kabur lagi.🫣🫣🫣🫣",
"@Bambangmulyonoo Mau dipoles spt apapun ,sebagian rakyat sdh gak mungkin  percaya lagi...wadas ,rempang dn msih bnyk yg lain cm senyap dari liputan media... https://t.co/kroPxyo2oY",
"@tanyarlfes Lah minta ama pak de, emang rempang mau di gusur ?",
"Pantang Menyerah, Menteri Investasi Bahlil Kembali Bujuk Warga Rempang untuk Pindah: Insyaallah Akan Ada Solusi https://t.co/d3fWVWzkrZ",
"ini cuma pengalihan Isu,  dia panik proyek Rempang Terancam Batal.  ga usah di gubris, dia mau sakit, sekarat, dicabut nyawanya. Bomat buang2 energi.",
Alesan aja lu pung...  Selesain rempang itu...,
"Jika anda sudah tahu nasib rakyat saat ini makin sengsara, kemudian anda masih mendukung regime penguasa.  Maka sebenarnya anda bukan lagi mendukung, melainkan anda telah membunuh nurani anda sendiri.  Menteri Investasi, Bahlil mendatangi pulau Rempang siang ini (6/10/23). https://t.co/4WjjOc16nZ",
@cobeh2022 #wadas #Rempang #papua #Nusatenggaratimur #mandalika #pohuwato #monjoktaliwang.....,
@OposisiCerdas Pengkhianat itu yg mau jual pulau rempang y pak?,
@darenboys23 @tempodotco Yuk.kita dukung pabrik kaca rempang,
@GessyHGanie @GibraltarNc @HukumDan @NenkMonica @MCAOps @Aline_Y_Tan @logikapolitikid @PartaiSocmed @Benk299120211 @RevolusiAkhlaq2 @NIAS2013 @Nicho_Silalahi @MprAldo @Ilen_Srg @t3luuur @HelmiFelis_ @fadlizon @Asan_Almadury @GubernurPribumi @tvOneNews @BEMUI_Official @sema_stei @mahasiswaunj Ini yg mau buldoser warga yg tolak Rempang Eco City? Semoga gk bangun lagi.,
@KevinCh84889504 @Tan_Mar3M Apa hebatnya joget2 di atas penderitaan warga rempang???,
@BosPurwa Pengaruh polusi pabrik batu bara dimakan campur vaksin COVID 19 di tanah Rempang,
"@yunusberkahjaya Stt...kasihan warga Rempang, dan...semoga selamat temuan gas alam terbesar di Kaltim",
"@kurniawanaghil Lihat muka yg teriak2 minta borgol.  Tampakkan kemarahan. Maklum kl sdh jd penegak hukum tp sekaligus penghamba cuan. Lihat kelakuan mrk di Rempang, Sulawesi, Lampung, dll. Sama semua.",
@DjogdjaKembali @Nicho_Silalahi @jokowi Anj*** selalu menjilat kaki tuannya dan akan menggonggong kencang jika ada yg berusaha mengusik majikannya. Masyarakat rempang adalah saudara kami hanya anj*** yg tidak punya saudara.,
@liputan6dotcom lahanya di rempang ya pak,
Batalkan rempang !!,
@GRUNGE_GO @msaid_didu Percayaaaa? Skrg mana suaranya utk Rempang dll?,
Tolak rempang... Dan usut tuntas mafianya...,
"@TeddGus Cukup jadi manusia yg beradab saja utk mengetahui kebenaran. Lihatlah derita rakyat Rempang Galang, Wadas, Labuhan bajo. Banyak tanah rakyat yg tergerus akibat ulah oligarki Aseng.",
"Menteri ATR/BPN menjelaskan di DPR bahwa penduduk Pulau Rempang, Batam, yang akan direlokasi tidak punya sertifikat tanah. Betulkah negara memiliki tanah ? Siapa pemilik tanah di negara Indonesia? #ArtikelOpini #AdadiKompas   https://t.co/GsxgoP3li7",
@ategeo @TeddGus @jokowi Proyek rempang batam bukan titipan ya?,
"Menteri ATR/BPN menjelaskan di DPR bahwa penduduk Pulau Rempang, Batam, yang akan direlokasi tidak punya sertifikat tanah. Betulkah negara memiliki tanah ? Siapa pemilik tanah di negara Indonesia? #Opini #AdadiKompas   https://t.co/kZBIppUgqF",
@Wawat_Kurniawan Seperti pabrik kaca di Rempang,
Rekomendasi Floral dress https://t.co/pgV9W67hBU  t. Ldii you and me by jennie cianjur laura basuki thank you taeyong nescafe seduh na pd jorji na jaemin you did well firli blasteran pbsi gen z fajri investasi rempang angga cheol beckham jambu pilih aku kpai shameless onana https://t.co/Y8XvdtAPBp,
@GunRomli Rempang di doain apa sama ganjar?????,
