created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Tue Oct 17 22:19:00 +0000 2023;1714405679694524846;"'Just let me die here': Why locals on Indonesia's Rempang oppose eviction for China-backed project https://t.co/E98NMoE475";0;0;0;0;en;1613748637015707648;1714405679694524846;Bballshoeguide;https://twitter.com/Bballshoeguide/status/1714405679694524846
Tue Oct 17 22:13:07 +0000 2023;1714404199490801895;"'Just let me die here': Why locals on Indonesia's Rempang oppose eviction for China-backed project https://t.co/oQJDH2ziKp";0;0;0;0;en;1674899033595465729;1714404199490801895;yafisnewsnet;https://twitter.com/yafisnewsnet/status/1714404199490801895
Tue Oct 17 22:13:07 +0000 2023;1714404197989220413;"'Just let me die here': Why locals on Indonesia's Rempang oppose eviction for China-backed project https://t.co/dhZH0d3fBu";0;0;0;0;en;1574022961866199044;1714404197989220413;Iamvisionrz;https://twitter.com/Iamvisionrz/status/1714404197989220413
Tue Oct 17 22:13:07 +0000 2023;1714404196349300874;"'Just let me die here': Why locals on Indonesia's Rempang oppose eviction for China-backed project https://t.co/1W87ElJXEu";0;0;0;0;en;1508477969102163972;1714404196349300874;IamOdyla;https://twitter.com/IamOdyla/status/1714404196349300874
Tue Oct 17 22:09:58 +0000 2023;1714403406964805746;"@Resty_J_Cayah @Miduk17 ITU GR GR KESELEK BULDOSER REMPANG KWKWKW";0;0;0;0;in;1657672406172061700;1714172181876466175;Nova28282828;https://twitter.com/Nova28282828/status/1714403406964805746
Tue Oct 17 22:09:23 +0000 2023;1714403259564323030;"@Beritasatu Walah2 nyindir ney...tp ya bagai mana...ijazah, bagai mana koruptor, bagai mana rempang, bagai mana mafia2 sekarang...seperti nya mau nyindir2... sepertinya masih kureng jg siii...terakhir usia presiden bisa di setting ulang jg...";0;0;0;0;in;1661185062883442689;1713118485478556129;elvegardryo;https://twitter.com/elvegardryo/status/1714403259564323030
Tue Oct 17 22:06:36 +0000 2023;1714402556510920961;"'Just let me die here': Why locals on Indonesia's Rempang oppose eviction for China-backed project https://t.co/lgWPI0SQf8 https://t.co/frv6Q2GWgc";0;0;0;5;en;38400130;1714402556510920961;ChannelNewsAsia;https://twitter.com/ChannelNewsAsia/status/1714402556510920961
Tue Oct 17 21:50:15 +0000 2023;1714398443882549665;"@IFnubia @koko_hage @Heraloebss jangan lu samain dengan jalan provinsi, lah gublogggg. kalo daerah pati - rembang gua juga mikir2 mau langsung nyebrang ambil kanan. 😪😪😪🤦🏼";0;0;0;1;in;1604402609946624001;1714206247636095133;IyesTines;https://twitter.com/IyesTines/status/1714398443882549665
Tue Oct 17 21:04:23 +0000 2023;1714386898511368664;"Erlangga Giat Literasi Keliling Nusantara Hadir di Pantai Palawangan Rembang https://t.co/cl0D82hsgL";0;1;0;1;in;55507370;1714386898511368664;tvOneNews;https://twitter.com/tvOneNews/status/1714386898511368664
Tue Oct 17 18:54:45 +0000 2023;1714354277412639111;"@Resty_J_Cayah @Miduk17 Buldozer mana buldozer. Penderitaan ribuan warga Rempang lbih parah, dri pda sakitnya opung.. Do'a-do'a orang yg terzolimi tembut langsung ke ars.. selamat menikmati keserakahan opung👏👏👏👏";0;0;0;0;in;1168937459356508160;1714172181876466175;ABIEM_RBKC_023;https://twitter.com/ABIEM_RBKC_023/status/1714354277412639111
Tue Oct 17 17:44:00 +0000 2023;1714336473468846555;"@Resty_J_Cayah @Miduk17 Yang mau ngebuldoser org rempang";0;0;0;0;in;1303697894789115915;1714172181876466175;Faturoh86020564;https://twitter.com/Faturoh86020564/status/1714336473468846555
Tue Oct 17 17:30:40 +0000 2023;1714333116486259060;"antusias warga melayu bersatu mendukung investasi di p. #rempang";0;0;0;0;in;1694248463750615041;1714333116486259060;Denis8119683146;https://twitter.com/Denis8119683146/status/1714333116486259060
Tue Oct 17 17:16:46 +0000 2023;1714329617090429148;"@riiuskyle Orang rembang jateng, kamu org mana kak rii?😡";0;1;0;0;in;1567194550560751616;1714294757151871269;elll_ryu;https://twitter.com/elll_ryu/status/1714329617090429148
Tue Oct 17 17:01:34 +0000 2023;1714325792799461834;"@danielht2009 @akbarfaizal68 @mohmahfudmd Tegas untuk mengusir rakyat asli Pulau Rempang, gw sih scr study keilmuan sangat mengidolakan beliau, tapi untuk kebijakan dan gebrakan hukum terkait Pulau Rempang sgt terlihat kekejaman yg nyata.";0;0;0;5;in;898736319798550529;1714266101813748105;Abdrahim_lye;https://twitter.com/Abdrahim_lye/status/1714325792799461834
Tue Oct 17 16:55:27 +0000 2023;1714324255368937649;", mau nanya ada fans jeketi dari rembang atau sekitarnya ndak iya.?";0;1;0;29;in;1394249284736864258;1714324255368937649;vvotanet;https://twitter.com/vvotanet/status/1714324255368937649
Tue Oct 17 16:47:56 +0000 2023;1714322362605375642;"@bvaiq @mazzini_gsp @mohmahfudmd siap2 diserang isu rempang";0;0;0;1;in;354122439;1714276453364449559;feelsbringer;https://twitter.com/feelsbringer/status/1714322362605375642
Tue Oct 17 16:23:15 +0000 2023;1714316152586092662;"@Puthutea Ngga tau dah orang rempang dan wadas ngerasa spt mu";0;0;0;0;in;833418561863327744;1714228514348769783;slow_cooked;https://twitter.com/slow_cooked/status/1714316152586092662
Tue Oct 17 16:20:36 +0000 2023;1714315485255540741;"@democrazymedia Kepelbagaian prilaku dan tindak tunduk kepemimpinan negara ini selalu jelas mengusik nurani rakyat. Atau kah sebuah hati itu telah kering dari cahaya perikemanusiaan yang adil dan beradab ??? Rempang dan sejenisnya. UU ciptakerja dan berbagai nya . Kejenuhan itu mbw dampak";0;0;0;1;in;1506195203564388356;1713907645973758310;Mustafa96991932;https://twitter.com/Mustafa96991932/status/1714315485255540741
Tue Oct 17 16:18:55 +0000 2023;1714315060817063998;"nyerang sego kucing segitiga😙 https://t.co/Ivcfy4sRaC";0;0;0;0;in;886482346290982912;1714315060817063998;txtdarirembang;https://twitter.com/txtdarirembang/status/1714315060817063998
Tue Oct 17 16:08:28 +0000 2023;1714312429793083787;"@cobeh2022 Iya cepat kembali lord, warga rempang kangen denganmu 🤭";0;0;0;0;in;1675938967357886464;1714275116862083487;2024noBanteng;https://twitter.com/2024noBanteng/status/1714312429793083787
Tue Oct 17 15:56:19 +0000 2023;1714309372980219959;"@Afirhuls @hanibeeu Mimpilah rempang pun tak settle lagi.";0;0;0;3;in;481265926;1714253813237072348;Asyraf_Aaap;https://twitter.com/Asyraf_Aaap/status/1714309372980219959
Tue Oct 17 15:54:28 +0000 2023;1714308908339355725;"Menhan Ultah, Pedagang Pasar #Rembang Gelar Doa Bersama #klikRMOL https://t.co/jfXQVIVgYh";0;0;0;0;in;950627851140710401;1714308908339355725;rmoljateng;https://twitter.com/rmoljateng/status/1714308908339355725
Tue Oct 17 15:40:34 +0000 2023;1714305409694244982;"https://t.co/2OK2UMjHAq";0;0;0;1;zxx;1536567484693852166;1714305409694244982;HumasResRembang;https://twitter.com/HumasResRembang/status/1714305409694244982
Tue Oct 17 15:39:24 +0000 2023;1714305116344582263;"https://t.co/YdG3gpFN7k";0;0;0;1;zxx;1536567484693852166;1714305116344582263;HumasResRembang;https://twitter.com/HumasResRembang/status/1714305116344582263
Tue Oct 17 15:38:28 +0000 2023;1714304881492905989;"https://t.co/qgGSz6gUZF";0;0;0;1;zxx;1536567484693852166;1714304881492905989;HumasResRembang;https://twitter.com/HumasResRembang/status/1714304881492905989
Tue Oct 17 15:38:17 +0000 2023;1714304835166818528;"https://t.co/QNskUOLloQ";0;0;0;0;zxx;1536567484693852166;1714304835166818528;HumasResRembang;https://twitter.com/HumasResRembang/status/1714304835166818528
