created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Tue Oct 10 23:57:32 +0000 2023;1711893759385059388;"@memelord_666666 Meme ini benar, karna memang warga indonesia menaruh perhatian ke konflik di middle east tp tetap saja jd bagian dan tetap pegangan tgn dgn konflik di papua, rempang ataupun isu2 lainnya di tanah air, solidaritas itu tetap ada kok";0;0;0;32;in;721925529234833408;1711738313034604552;kinaru_;https://twitter.com/kinaru_/status/1711893759385059388
Tue Oct 10 23:55:49 +0000 2023;1711893328051257537;"Ckckck, Tukang Hasut Bayaran @Dennysiregar7 mmg bermulut besar. Koar" demi tegaknya hukum di negara demokrasi ini. Lupa dg usulnya @jokowi tambah 1 periode bila perlu Seumur Hidup. Demokrasi ala Tukang Hasut? Lalu sembunyikan fakta kasus Rempang &amp  Wadas di era @jokowi? Waras dab? https://t.co/GoX1VVAW1b";0;0;0;0;in;783290663483809792;1711893328051257537;EkoWitono9;https://twitter.com/EkoWitono9/status/1711893328051257537
Tue Oct 10 23:48:51 +0000 2023;1711891572923711504;"Kemarau pagi  📍Pasar Kambing, Rembang   #travelphotography  #streetphoto  #photograph  #Documentary https://t.co/dIxNXuUsC4";0;0;1;1;in;250621963;1711891572923711504;SeringanAwan;https://twitter.com/SeringanAwan/status/1711891572923711504
Tue Oct 10 23:42:00 +0000 2023;1711889851547840760;"Wuuah ini sama seperti Zionis China yahudi garis keras di Indonesia,mrk menebar hoax di media bahwa 70% warga Rempang brsedia direlokasi namun di sana baru beberapa KK yg setuju relokasi,itupn warga pendatang, mrka ramai buat video ibu anu inu mau relokasi pdhl bkn warga Rempang";0;0;0;0;in;1092958177;1711889851547840760;pandandjati;https://twitter.com/pandandjati/status/1711889851547840760
Tue Oct 10 23:40:13 +0000 2023;1711889403801735642;"@mukidioon3 Akhir² kita dapat kabar baik., israel kocar kacir di bimbardir Hamas, trus daoat kabar lagi klo pembukuh darahnya pecah..., ah warga rempang.., paten kali do'a orang² terdzolimi..";0;0;0;0;in;3102502896;1710966435374358962;ian_hijrah1432;https://twitter.com/ian_hijrah1432/status/1711889403801735642
Tue Oct 10 23:30:06 +0000 2023;1711886857485901947;"🤭 Kasus Rempang piye jadinya pak dhe @jokowi  Pernyataan Presiden Jokowi Terkait Situasi Terkini Konflik Palestina-Israel, 10 Oktober 2023 https://t.co/uaEiYlfQZC";0;1;0;0;in;1653800082200989697;1711886857485901947;blackshark_7890;https://twitter.com/blackshark_7890/status/1711886857485901947
Tue Oct 10 23:17:37 +0000 2023;1711883716132220989;"@geloraco akar konflik pemerintah mau menduduki p rempang untuk investor?";0;0;0;0;in;1698151484033007616;1711792358428475893;telescope_kedua;https://twitter.com/telescope_kedua/status/1711883716132220989
Tue Oct 10 23:11:13 +0000 2023;1711882104383177166;"@kumparan Sdh buldozer rempang yah";0;0;0;0;in;1583541045916184582;1711714050059456926;rachmat35494997;https://twitter.com/rachmat35494997/status/1711882104383177166
Tue Oct 10 22:49:05 +0000 2023;1711876535916142718;"Yang dijual pulau rempang?";0;0;0;0;in;349213069;1711876535916142718;adhityaiska;https://twitter.com/adhityaiska/status/1711876535916142718
Tue Oct 10 22:46:24 +0000 2023;1711875858259169393;"@hc_poirot Bahlil ke rempang kan kode keras dukungan penuh rezim ke MEG utk menempuh apapun cara utk merebut tanah rakyat";0;0;0;0;in;1647571685036654593;1711587956757299256;JayaManula;https://twitter.com/JayaManula/status/1711875858259169393
Tue Oct 10 22:45:12 +0000 2023;1711875558215414235;"@Dennysiregar7 @__AnakKolong @cokro_tv @2045Tv Ayo berjuang untuk rakyat, lihat Rempang, lihat Komodo, lihat Wadas, lihat Lombok, dan banyak lagi, ternyata reformasi hanya untuk meruntuhkan dan belajar dari orde baru untuk lebih parah menindas rakyat, ayo bentuk perlawanan baru melawan penindasan kepada rakyat";0;0;0;1;in;1432218498650959879;1711717015592088048;WangsaPersada;https://twitter.com/WangsaPersada/status/1711875558215414235
