created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Thu Oct 12 23:55:40 +0000 2023;1712618065605820849;"Bahlil adalah citra arogansi pemerintah terhadap rakyat di Rempang, banyak pihak yg dibohongi termasuk presiden kalau proyek Eco city sudah memiliki ijin (AMDAL), padahal belum jadi dibuat, PB Batam diharap jangan maksa rakyat untuk relokasi, ECO city adalah bentuk penjajahan.";0;0;0;1;in;1092958177;1712618065605820849;pandandjati;https://twitter.com/pandandjati/status/1712618065605820849
Thu Oct 12 23:53:59 +0000 2023;1712617642190897644;"@OposisiCerdas hanya ingin tau...ada rencana apa dibalik itu?";0;0;0;0;in;1607576414043406336;1712449948703478223;dnm_operational;https://twitter.com/dnm_operational/status/1712617642190897644
Thu Oct 12 23:51:16 +0000 2023;1712616958250918019;"@NarasiNewsroom jaman Avatar anak kecil bisa menguasai Air, Bumi dan Api...jaman sekarang hanya seumuran Luhut yang bisa seperti itu";0;0;1;2;in;1607576414043406336;1712387031106752882;dnm_operational;https://twitter.com/dnm_operational/status/1712616958250918019
Thu Oct 12 23:49:03 +0000 2023;1712616401058628054;"@Paltiwest PBB tidak melihat penggusuran tanah rempang dan kalimantan.itu pelanggaran HAM.kok bisa dijadikan anggota PBB.";0;1;1;2;in;1668594335460491264;1712595946067173377;HeruPraset77452;https://twitter.com/HeruPraset77452/status/1712616401058628054
Thu Oct 12 23:45:17 +0000 2023;1712615453661811085;"@OposisiCerdas hanya ktp kartu keluarga masa engga punya kalo warga asli yang elu perjuangkan yang engga punya siapa...?";0;0;1;1;in;1607576414043406336;1712478386462105736;dnm_operational;https://twitter.com/dnm_operational/status/1712615453661811085
Thu Oct 12 23:32:27 +0000 2023;1712612225046008262;"@NenkMonica cepat sembuh...jangan biarkan jokowi sendiri menghadapi pengadilan rakyat perlu didampingi mantan jendral kopasus...";0;0;1;4;in;1607576414043406336;1712597786016071912;dnm_operational;https://twitter.com/dnm_operational/status/1712612225046008262
Thu Oct 12 23:25:00 +0000 2023;1712610350263353846;"@Naz_lira Sadarlah wahai rakyat indo belalah terlebih dahulu hak rakyat yang lagi menderita di rempang mereka mau kemana kalau digusur,jangan lihat penderitaan negara lain sedang penderitaan negaramu kau tutup matamu,jangan pura pura suci";0;0;0;0;in;1692157100481560576;1712605013804228705;HutajuluP27080;https://twitter.com/HutajuluP27080/status/1712610350263353846
Thu Oct 12 23:24:13 +0000 2023;1712610151012958686;"KEGIATAN KENDURI AKBAR ( RUMAH BARU masyarakt REMPANG DI LAPANGAN FASUM BUANA CENTRE PARK https://t.co/1A9dmCpLiv";0;0;0;0;in;1684765686667866114;1712610151012958686;rissawiluyanii;https://twitter.com/rissawiluyanii/status/1712610151012958686
Thu Oct 12 23:20:58 +0000 2023;1712609331882197017;"@ronavioleta Lebih baik bela palestina daripada bela warga Rempang yang menderita akibat lahan dan rumahnya di rampas investor,demikian juga warga Seruyan yang di tembak polisi di diamkan lebih baik berdemo bela palestina,bela rakyat Indonesia belom pernah demo";0;0;0;0;in;1692157100481560576;1712605353958130107;HutajuluP27080;https://twitter.com/HutajuluP27080/status/1712609331882197017
Thu Oct 12 23:20:43 +0000 2023;1712609268569174296;"Yahudi Pesek penyembah pohon dan Yahudi Keling penyembah sapi.  #FreePalestine";0;0;0;0;in;1097021784212135936;1712609268569174296;AntiPengPeng;https://twitter.com/AntiPengPeng/status/1712609268569174296
