created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Mon Oct 09 23:51:52 +0000 2023;1711529947989438896;"@Naz_lira Abu janda bacot Lo tuh sok belain Yahudi...  Lo ikut aja jadi Relawan Perang Israel, berani ngak,jgn sok jdi Pahlawan utk orang Yahudi...  Di Indonesia aja Rakyat Rempang lagi di Zholimi oleh Rezim, knp ngak Lo belain,knp hrs Negara Israel yg Lo belain";0;1;1;7;in;1484472727142486019;1711343573810209176;RWati65;https://twitter.com/RWati65/status/1711529947989438896
Mon Oct 09 23:48:12 +0000 2023;1711529021736091679;"@_Banyoe Ngak usah terlalu jauh…bagaimana dgm masyarakat rempang ?";0;0;0;1;in;1601536152342708224;1711371624417734704;erwinbkri;https://twitter.com/erwinbkri/status/1711529021736091679
Mon Oct 09 23:46:17 +0000 2023;1711528539785478379;"@VIVAcoid Halllaahhh banyak lagu luh warga Rempang Wadas aja kalian tindas";0;0;0;1;in;1490475979814232064;1711429714169258047;lukman_kikin;https://twitter.com/lukman_kikin/status/1711528539785478379
Mon Oct 09 23:45:00 +0000 2023;1711528216907727343;"CATATAN Walhi Terhadap Proyek Rempang Eco City dan Bentrok di Seruyan https://t.co/rYVQP06W1g";0;0;8;7;in;1243804423001763841;1711528216907727343;democrazymedia;https://twitter.com/democrazymedia/status/1711528216907727343
Mon Oct 09 23:43:49 +0000 2023;1711527921020797364;"@13FreeStranger Hebat nian adik2 ini. Kita juga jadi paham, bedanya pemilik ijasah asli &amp  pemilik ijasah palsu. Pemilik ijasah asli ternyata menolak penggusuran/penggeseran warga Rempang. Beda bukan?! 😁";0;1;5;10;in;1085254697185828864;1711296523940884686;Didikjzie;https://twitter.com/Didikjzie/status/1711527921020797364
Mon Oct 09 23:41:50 +0000 2023;1711527420296319420;"Undang Investor Bangun Rempang, Habib Syakur : Saya Bangga dengan Jiwa. Sosial Tomy Winata Sc: tongtongkerupukkaleng  #solusiuntukrempang #rempang #fyp #foryou  #rempanggalang #tomywinata #HabibSyakur https://t.co/n8t2YWVlPg";0;1;0;1;in;848796526071627777;1711527420296319420;wartabhineka;https://twitter.com/wartabhineka/status/1711527420296319420
Mon Oct 09 23:41:42 +0000 2023;1711527386800689284;"Ngga malu sama warga rempang ?";0;0;0;0;in;28269605;1711527386800689284;asetiaji;https://twitter.com/asetiaji/status/1711527386800689284
Mon Oct 09 23:39:22 +0000 2023;1711526802429227039;"@BangPakat Raykat Rempang ajha di prank...... padahal Jokowi menang disitu.... selamat menikmati pilihan anda Bang.";0;0;0;1;in;217971997;1711235541365309487;dendy_hendrian;https://twitter.com/dendy_hendrian/status/1711526802429227039
Mon Oct 09 23:38:40 +0000 2023;1711526622883721571;"Sudahlah Bahlil cs Hentikan narasi bohong mu atas REMPANG, hari gini berbohong? Jejak digital akan bicara,  https://t.co/kIZxClQKH0 Saksikan video ini https://t.co/8ElOpAFsvb https://t.co/dwJvMcOcZD https://t.co/izO2T3PMTn https://t.co/wG22GmBtPM";0;0;0;3;in;1168102826624483329;1711526622883721571;ENS53311139;https://twitter.com/ENS53311139/status/1711526622883721571
Mon Oct 09 23:35:57 +0000 2023;1711525941049262243;"Membacakan Nyaring https://t.co/Oi8jl0lCIn #MovingEp17 Narnia Azizah KDRT Abimana #MyLovelyLiarEp14 #TXTxDior #____ Halo-Halo Bandung Rempang https://t.co/LnKJzhAoBi https://t.co/b5Nj9aU6GM https://t.co/DxMKnATDdf https://t.co/AwMQSLhu8X";0;0;0;0;in;1361969770346602501;1711525941049262243;donnymarthen;https://twitter.com/donnymarthen/status/1711525941049262243
