created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Wed Oct 11 23:51:19 +0000 2023;1712254581395386827;"@akumakanbuku Dan Seruyan, dan Rempang, dan masih banyak lagi kak :(";1;0;0;1;in;48569680;1711557218259366025;dianpurnomo;https://twitter.com/dianpurnomo/status/1712254581395386827
Wed Oct 11 23:51:15 +0000 2023;1712254565352194416;"Warga Rempang Memberi Syarat Kepada Menteri Bahlil, Jika Siap di Realokasi https://t.co/Ga4OrKSiCx";1;1;3;5;in;1226436091617505281;1712254565352194416;keuangannews_id;https://twitter.com/keuangannews_id/status/1712254565352194416
Wed Oct 11 23:48:24 +0000 2023;1712253851250925632;"BAHLIL yg bahlul diusir warga Rempang cengengesan malu  https://t.co/xz9wt6LLpW";0;0;0;1;in;1168102826624483329;1712253851250925632;ENS53311139;https://twitter.com/ENS53311139/status/1712253851250925632
Wed Oct 11 23:30:26 +0000 2023;1712249328000254114;"@OposisiCerdas Pusing mikirin Rempang, saatnya ompung ISTIRAHAT";0;0;0;1;in;787483267087740929;1712120930728886778;baimtangke;https://twitter.com/baimtangke/status/1712249328000254114
Wed Oct 11 23:28:36 +0000 2023;1712248865368441191;"Siap melawan Zionis pesek yg ingin merampas tanah ulayat 16 kampung tua Rempang.";0;0;0;1;in;1213358772216717312;1712248865368441191;Pinokiotukangk1;https://twitter.com/Pinokiotukangk1/status/1712248865368441191
Wed Oct 11 23:27:55 +0000 2023;1712248694891020313;"@DrEvaChaniago Sangat tidak cocok. Sungung ngung ngung suara buldoserrr.....  #SaveRempang  #SaveRempang Melukai warga rempang Singapur dekat batam tenggelam. Aamiin";0;0;2;9;in;1594969791588016130;1712148149035302962;Dirgahayu394;https://twitter.com/Dirgahayu394/status/1712248694891020313
Wed Oct 11 23:25:37 +0000 2023;1712248117725429763;"@hc_poirot Bahlul cuma jongos.. bossnya lagi sekarat  deket dengan Rempang di RS Singapur";0;0;0;5;in;1503560974103560197;1712133355784089824;BudiSup94266397;https://twitter.com/BudiSup94266397/status/1712248117725429763
Wed Oct 11 23:07:06 +0000 2023;1712243457379668012;"@DoankWarto Emang PDIP selama ini pakai etika politik?  Pakai moral?  Ngaku partai wong cilik fakta nya apa... Rempang dan masih banyak lainnya. PDIP semoga tidak memanen apa yg telah dikerjakannya.";0;0;0;0;in;1704686854749184000;1712240325207740708;AdamW4hid;https://twitter.com/AdamW4hid/status/1712243457379668012
Wed Oct 11 23:05:03 +0000 2023;1712242939961954539;"Cara Santun Warga Melayu Rempang Tolak Relokasi, Dari Pantun Hingga Sholawat  Isnur juga memastikan kalau aksi solidaritas warga ini secara langsung membantah klaim Bahlil Lahadalia yang menyatakan bahwa ada 70 persen warga yang setuju untuk direlokasi. https://t.co/iSBrPpsBVO";0;0;0;1;in;1445171653957206020;1712242939961954539;kosadata;https://twitter.com/kosadata/status/1712242939961954539
Wed Oct 11 22:49:09 +0000 2023;1712238937333514472;"@mulkanjabariyan Sampek keluar belatung dari mulutnya, yg koar koar mau buldoser warga rempang";0;1;0;2;in;1603571774377299968;1712231340475629739;mukidioon3;https://twitter.com/mukidioon3/status/1712238937333514472
Wed Oct 11 22:47:56 +0000 2023;1712238633992999371;"Spy bs amankan aset dn proyek nya dn opung yg sdg berjalan .Bgmn rempang pak @jokowi ,berantakan ya si @bahlillahadalia ,opung dah mamvus ituh,gak kenal uwong lg .";0;0;0;0;in;1603746480707104768;1712238633992999371;lopefutin;https://twitter.com/lopefutin/status/1712238633992999371
Wed Oct 11 22:45:42 +0000 2023;1712238071180411302;"@indracahyana90 @msaid_didu Sadarlah,negara sdh dikuasai oligarki china liat rempang +desa seruyan kaltim rakyat ndiri dibantai demi taipan china bdrinvestasi...";0;2;0;0;in;1607359469318725633;1712115828718707062;LuckyLudjaina;https://twitter.com/LuckyLudjaina/status/1712238071180411302
Wed Oct 11 22:45:22 +0000 2023;1712237984584745029;"Tuh.. Bahlil dicariin sama penduduk Rempang.";0;0;3;8;in;1603561074371874817;1712237984584745029;migdodo74;https://twitter.com/migdodo74/status/1712237984584745029
Wed Oct 11 22:34:25 +0000 2023;1712235230902538341;"@musniumar Indonesia kalau ingin maju butuh investor yg banyak mus, tidak rempang aja taukkk ...";0;0;0;0;in;1573307240530214917;1712053508315435345;Hend47503320;https://twitter.com/Hend47503320/status/1712235230902538341
Wed Oct 11 22:16:27 +0000 2023;1712230710436868508;"@tvOneNews Rempang mana...";0;0;0;0;in;1577568650340749312;1712045711934837046;ChristianRaiwa1;https://twitter.com/ChristianRaiwa1/status/1712230710436868508
Wed Oct 11 22:10:27 +0000 2023;1712229201464775105;"TAK Bego-bego banget. Orang itu yang yang mengancam masyarakat Melayu di Rempang dengan BULDOZER. Sekarang saya siap adakan buldozer untuk Dia.";0;0;0;1;in;974196294645268481;1712229201464775105;Wargo37765722;https://twitter.com/Wargo37765722/status/1712229201464775105
Wed Oct 11 22:00:58 +0000 2023;1712226812078752146;"Maksud w tuh kek??? Mikir bjir udah gede, gua aja sampw gumoh baca berita lokal pusing banget stress argghhh. Setiap akun punya hal yang mereka up masing masing, kalo lu mantengin berita timteng ya gabakal nongol nama rempang di sana";0;1;0;0;in;1409937922468372481;1712225659794387281;kweksong;https://twitter.com/kweksong/status/1712226812078752146
Wed Oct 11 22:00:00 +0000 2023;1712226568775598100;"Mahbi Maulaya and Almuamas Zikri discussed the historical impetus of the recent dispute in Rempang Island.  #Indonesia  https://t.co/UoSgSLFXgW";0;0;0;0;en;1372077017919750145;1712226568775598100;stratsea;https://twitter.com/stratsea/status/1712226568775598100
Wed Oct 11 21:57:10 +0000 2023;1712225856809205981;"Masyarakat Rempang bukan barang yang bisa dipindah semaunya hanya demi kepentingan pemilik modal.";0;0;0;0;in;1567251204;1712225818209071373;nabihahsuhaimah;https://twitter.com/nabihahsuhaimah/status/1712225856809205981
Wed Oct 11 21:53:17 +0000 2023;1712224879117058106;"@hc_poirot Semoga bisa beristirahat dengan tenang, jauh dari hiruk pikuk Rempang dan conflict of interestnya";0;0;0;4;in;1560912596710346753;1711960313300685184;namiraf1;https://twitter.com/namiraf1/status/1712224879117058106
Wed Oct 11 21:47:13 +0000 2023;1712223353283756379;"Sesaat lewat subuh  📍Grajen, Rembang   #nightphotography  #travelphotography  #skyphotography  #Documentary https://t.co/ZJyuXqL7hZ";0;0;0;3;in;250621963;1712223353283756379;SeringanAwan;https://twitter.com/SeringanAwan/status/1712223353283756379
Wed Oct 11 21:13:38 +0000 2023;1712214901119389916;"@msaid_didu Blm tentu yg demo itu org asli Rempang";0;0;0;0;in;1609136653620350976;1711386714386886791;PetaniRica;https://twitter.com/PetaniRica/status/1712214901119389916
Wed Oct 11 21:09:05 +0000 2023;1712213755306905691;"@OposisiCerdas Stres soal Rempang";0;0;0;0;in;787483267087740929;1712127337813492073;baimtangke;https://twitter.com/baimtangke/status/1712213755306905691
Wed Oct 11 20:36:50 +0000 2023;1712205638359556441;"@tvOneNews Maaf ye negara Indonesia aja ngak berdaya pengusaha china ambil tanah rempang krn Indonesia terlilit hutang dgn Chinat";0;0;0;0;in;1431658561801646080;1712075897615048704;Promosi22096333;https://twitter.com/Promosi22096333/status/1712205638359556441
Wed Oct 11 20:30:45 +0000 2023;1712204109590233413;"@KepaArgawinata2 Woi hti dan fpi kontol urus tu konflik warga rempang, warga papua jgn sok paten kau. Kl kau punya nyali berangkat kau ke Palestina";0;0;0;0;in;1431658561801646080;1712155760917156019;Promosi22096333;https://twitter.com/Promosi22096333/status/1712204109590233413
Wed Oct 11 20:11:46 +0000 2023;1712199329925239268;"@geloraco Tinggal pilih, ikn atau rempang tempat perustirahatannya.";0;0;0;3;in;1642178830701043712;1711925044639842372;PureName482266;https://twitter.com/PureName482266/status/1712199329925239268
Wed Oct 11 19:35:15 +0000 2023;1712190140943389111;"Warga Pulau #Rempang Terdampak Relokasi Diminta Bayar Selisih Harga Rumah.  apa benar?  https://t.co/LY9kw20jcV";0;0;0;0;in;1694248463750615041;1712190140943389111;Denis8119683146;https://twitter.com/Denis8119683146/status/1712190140943389111
Wed Oct 11 19:34:17 +0000 2023;1712189899259203761;"@HukumDan Hukum milik penguasa, tetapi kalau hukum digunakan untuk menindas dan menggusur rakyat, kemerdekaan adalah hak setiap bangsa, yang terjadi di Palestina, tidak berbeda dengan yang terjadi di Rempang, Komodo, Lombok, Aceh, Papua, Wadas dan banyak lagi terjadi di seluruh Indonesia";0;0;0;0;in;1432218498650959879;1711650866334458176;WangsaPersada;https://twitter.com/WangsaPersada/status/1712189899259203761
Wed Oct 11 19:28:30 +0000 2023;1712188442044748014;"Semoga komitmen BP Batam untuk terus melakukan pendekatan kepada warga. dapat merealisasikan investasi melalui pembangunan di #rempang   https://t.co/zFmDjPAhEc";0;0;0;0;in;1694248463750615041;1712188442044748014;Denis8119683146;https://twitter.com/Denis8119683146/status/1712188442044748014
Wed Oct 11 19:28:26 +0000 2023;1712188426362245341;"@DrEvaChaniago Bagaimana dengan Rempang, Lombok, Aceh dan Papua, kalau penindasan dan penggusuran tidak dihentikan, cuma kemerdekaan yang akan menghentikan itu";0;0;0;0;in;1432218498650959879;1711767444245885074;WangsaPersada;https://twitter.com/WangsaPersada/status/1712188426362245341
Wed Oct 11 19:20:55 +0000 2023;1712186533879697763;"Potensi #Rempang untuk menyerap investasi masih sangat besar. https://t.co/IY0aCkbcek";0;0;0;0;in;1694248463750615041;1712186533879697763;Denis8119683146;https://twitter.com/Denis8119683146/status/1712186533879697763
Wed Oct 11 19:12:05 +0000 2023;1712184310500119033;"Kepala Biro Humas, Promosi dan Protokol Ariastuty Sirait menjelaskan  bahwa jika investasi ini berjalan, akan ada banyak dampak positif yang diterima masyarakat.  #rempang  https://t.co/O6SLhtQgZH";0;0;0;0;in;1694248463750615041;1712184310500119033;Denis8119683146;https://twitter.com/Denis8119683146/status/1712184310500119033
Wed Oct 11 19:08:13 +0000 2023;1712183339581657569;"Pembangunan #rempang bakal jadi Mesin Ekonomi bagi Indonesia.";0;0;0;0;in;1694248463750615041;1712183339581657569;Denis8119683146;https://twitter.com/Denis8119683146/status/1712183339581657569
Wed Oct 11 19:04:34 +0000 2023;1712182420777422920;""investasi di #Rempang, termasuk wilayah Batam secara  keseluruhan sangat menarik bagi para investor karena aksesnya sudah  terbuka secara keseluruhan, mulai dari darat, laut, dan udara." Kepala BP Batam Muhammad Rudi dalam program Power Lunch CNBC Indonesia. (15/9/2023)";1;0;0;0;in;1694248463750615041;1712182420777422920;Denis8119683146;https://twitter.com/Denis8119683146/status/1712182420777422920
Wed Oct 11 18:58:25 +0000 2023;1712180871099535591;"#AniesMuhaimin2024 Rempang";0;0;2;1;in;1670070721186529280;1712180871099535591;joko_ngiboel;https://twitter.com/joko_ngiboel/status/1712180871099535591
Wed Oct 11 18:57:50 +0000 2023;1712180727708790815;"#AniesMuhaimin2024 Rempang";0;0;0;0;in;1670070721186529280;1712180727708790815;joko_ngiboel;https://twitter.com/joko_ngiboel/status/1712180727708790815
Wed Oct 11 18:44:19 +0000 2023;1712177325851496559;"@_yosi_h @BagasBagaspati @yusuf_dumdum Kalau rakyat rempang dan wadas bagaimana?";0;0;0;0;in;374842781;1712030012478787977;celukakuro;https://twitter.com/celukakuro/status/1712177325851496559
Wed Oct 11 18:44:01 +0000 2023;1712177248944738588;"Pembangunan daerah #rempang bisa menjadi penting &amp  strategis, menggerakan langkah perekonomian dan beberapa aspek lainnya";0;0;0;0;in;1694248463750615041;1712177248944738588;Denis8119683146;https://twitter.com/Denis8119683146/status/1712177248944738588
Wed Oct 11 18:28:38 +0000 2023;1712173376218026378;"semoga relokasi warga Pasir Panjang #rempang , nantinya 100 persen berjalan baik";0;0;0;0;in;1694248463750615041;1712173376218026378;Denis8119683146;https://twitter.com/Denis8119683146/status/1712173376218026378
Wed Oct 11 18:26:42 +0000 2023;1712172891771719696;"@Li9ayaTalaChes4 Rempang harus solid dan bersatu menjaga kedaulatan tanah adat dan tanah sejarah bangsa ini, bukan menolak pembangunan kami hanya menolak investor asing yg sewenang-wenang terhadap  hak rakyat ! Dan menolak pengakuan hak asing terhadap tanah moyang kami ! 💪😎🇮🇩 https://t.co/MlHAHo4SKO";0;1;1;4;in;1092958177;1712152874619457768;pandandjati;https://twitter.com/pandandjati/status/1712172891771719696
Wed Oct 11 18:23:42 +0000 2023;1712172137581011157;"@Dennysiregar7 Anjing kurap penjilat mendukung selalu untuk kepentingan periok nasinya jgn bocor, bukan mikir kepentingan rakyat coba aja lihat kasus rempang galang si deni dan anjing kurap lainnya mingkem";0;0;0;0;in;1569589180912762880;1712003691958641035;brainnolimit1;https://twitter.com/brainnolimit1/status/1712172137581011157
Wed Oct 11 18:21:53 +0000 2023;1712171678850306504;"@setia_purnama @SoftWarNews beda sangat beda kalau kasus di rempang itu tanah milik pemerintah dan itu hanya izin pakai dan bukan izin pemilikan";0;0;0;0;in;1280893439710605313;1712051924147843395;KhadafiDafi19;https://twitter.com/KhadafiDafi19/status/1712171678850306504
Wed Oct 11 17:53:39 +0000 2023;1712164573158264993;"@geloraco Doa rakyat rempang mulai kelihatan moga di percepat penjemputan malaikat iszroil ya pung";0;0;0;0;in;1678135559414501376;1712052515699913066;Aldi12673;https://twitter.com/Aldi12673/status/1712164573158264993
Wed Oct 11 17:46:31 +0000 2023;1712162777564139666;"@Rheny_Prihaty29 @Dennysiregar7 eh bloon,kau kurang wacana ato fanatik buta trhadap presiden? kau buta tdk bs melihat kasus rempang dimana itu adalah PSN yg notabene ambisi politik presiden yg berbuntut pelanggaran HAM? yg hoax itu isi kepalamu karna kurang wacana!";0;1;0;1;in;1031909140682031105;1711633416784130470;5463m0d3_sec;https://twitter.com/5463m0d3_sec/status/1712162777564139666
Wed Oct 11 17:21:23 +0000 2023;1712156453405151323;"@kurniawan_16166 @inibunaay Rembang";0;0;0;1;in;1475795933992423425;1708867519279509697;RumahCinta15;https://twitter.com/RumahCinta15/status/1712156453405151323
Wed Oct 11 17:18:41 +0000 2023;1712155773370060961;"Ini memang rezim paling bobrok.  Apalagi klu bukan uang kickback proyek😌  Markup anggaran kongkalikong eksekutif-legislatif.  Duit Pajak, hak kesejahteraan rakyat dijadikan bancakan.  @KPK_RI  terbaik  Om @Fahrihamzah ? Atau KPK juga kebagian? Lulusan TWK🙄";0;0;0;2;in;1097021784212135936;1712155773370060961;AntiPengPeng;https://twitter.com/AntiPengPeng/status/1712155773370060961
Wed Oct 11 17:14:42 +0000 2023;1712154772835618936;"@gendut71teng2 Yaa pastinya begitu, karena anggaran untuk pembangunan perumahan rakyat belum tentu ada, sebelum pengolahan pabrik berjalan atau export pasir kuarsa dari lepas Pantai Rempang dan sekitarnya. 🤫🤭 https://t.co/uyDAqLMlmR";0;0;0;1;in;1092958177;1712075762583650377;pandandjati;https://twitter.com/pandandjati/status/1712154772835618936
Wed Oct 11 17:12:51 +0000 2023;1712154305514582112;"@musniumar Aduuh.. Kok tolol amat kamu ini mus.. Masyarakat rempang justru menerima.  Kamu lihat sana mereka gak ada masalah.. Yg rusuh itu pelaku anarkis dari luar rempang.. Benar² goblok kamu musni";0;0;0;0;in;1631553998594654209;1712053508315435345;IntoleranAnti;https://twitter.com/IntoleranAnti/status/1712154305514582112
Wed Oct 11 17:07:10 +0000 2023;1712152874619457768;"Orasi KeTum YLBHI di Rempang menyatakan Dukungan dr Penjuru Nusantara utk Warga Rempang yg menolak  Relokasi  Batam 11-10-2023 https://t.co/EjM93L48dl";3;10;233;459;in;1439701579276251136;1712152874619457768;Li9ayaTalaChes4;https://twitter.com/Li9ayaTalaChes4/status/1712152874619457768
Wed Oct 11 16:55:05 +0000 2023;1712149834944434309;"BKPM Buka Suara Soal Relokasi Warga Pasir Panjang dari Rempang Eco-City https://t.co/hBR1vkYLGg";0;0;0;1;in;118646322;1712149834944434309;Bisniscom;https://twitter.com/Bisniscom/status/1712149834944434309
Wed Oct 11 16:42:39 +0000 2023;1712146704554930584;"@dapitnih Ya Alloh gus.... Kmana aja sih smp baru sadar bahwa hukum di negeri ini gak pernah berpihak ke rakyat. Lihat tuh Rempang,seruyan di sana jokowi menang telak,tp skrg mrk diusir dr tanah nya sendiri,bahkan ada yg tewas ditembak.";0;0;1;0;in;1455318900304871424;1712113791494950998;Onot339691212;https://twitter.com/Onot339691212/status/1712146704554930584
Wed Oct 11 16:40:38 +0000 2023;1712146198948360262;"ini kasus rempang btw";0;0;0;0;in;1398140385793249280;1712145157695672668;reveriotes;https://twitter.com/reveriotes/status/1712146198948360262
Wed Oct 11 16:40:35 +0000 2023;1712146186273173687;"Kapan TNI-Polri akan melindungi rakyatnya ? Koq bisa Pajak Rakyat (APBN) digunakan untuk GAJI, PERALATAN PERANG DAN FASILITAS POLRI, malah TNI-Polri dgn kejam dan bengis memukuli rakyat Rempang tuk kepentingan TW dan RRC? #UsutSkandalKejahatanLuhut  #UsutSkandalKejahatanLuhut https://t.co/PRFO5ePLWl";0;2;4;4;in;1641132086257139717;1712146186273173687;MS80TukR4ky4t;https://twitter.com/MS80TukR4ky4t/status/1712146186273173687
